Gene,log2FoldChange,baseMean,pvalue
ENSG00000267374,2.437611572,99.99227363,4.38E-21
ENSG00000196436,2.052089551,44.64183289,1.22E-15
ENSG00000185432,1.192000167,758.1300283,5.21E-12
ENSG00000113100,1.241807711,160.5723743,4.99E-11
ENSG00000122507,-1.048329444,597.7906664,4.48E-10
ENSG00000166869,-1.169423244,159.1131942,1.19E-09
ENSG00000228594,-0.80877796,378.0659286,2.84E-09
ENSG00000041982,1.295649709,849.0867749,3.54E-09
ENSG00000169100,-0.550891817,13997.79368,8.87E-09
ENSG00000107902,-0.844921457,518.018569,9.96E-09
ENSG00000197081,0.727413035,8958.899203,1.79E-08
ENSG00000186340,1.08598113,1818.631176,2.20E-08
ENSG00000151914,0.531835926,7234.158384,3.06E-08
ENSG00000119632,-0.925657842,216.2272265,3.26E-08
ENSG00000105427,-1.126021783,96.02125178,4.17E-08
ENSG00000137872,0.785047045,587.9058323,4.27E-08
ENSG00000131504,0.684291187,6420.104457,7.03E-08
ENSG00000204624,0.693873355,447.3280712,1.09E-07
ENSG00000007255,-0.848807082,533.0121545,1.34E-07
ENSG00000138821,0.972816967,1510.435036,1.43E-07
ENSG00000100243,-0.49457542,2317.31454,1.72E-07
ENSG00000176209,-0.665145746,642.3671967,2.50E-07
ENSG00000131669,-0.679927664,571.8834769,2.90E-07
ENSG00000115306,0.627058495,15163.0175,3.44E-07
ENSG00000104823,-0.655658787,858.2205766,4.16E-07
ENSG00000166963,0.952874064,280.961425,4.76E-07
ENSG00000105605,-0.659506795,2227.01143,5.83E-07
ENSG00000154188,1.295785016,78.44605415,5.89E-07
ENSG00000196154,-0.806704072,370.1700702,6.25E-07
ENSG00000126768,-0.640330749,1103.182811,6.00E-07
ENSG00000011021,0.655695033,1447.688218,5.59E-07
ENSG00000145703,0.707764399,5385.829088,5.76E-07
ENSG00000108107,-0.716421721,10444.51853,5.57E-07
ENSG00000105640,-0.650422779,14869.59786,6.11E-07
ENSG00000137642,0.608992427,7011.970256,6.73E-07
ENSG00000120896,-0.81513198,1051.204887,7.17E-07
ENSG00000154734,0.925799114,571.5802734,7.39E-07
ENSG00000136425,-0.60498517,674.7186249,8.39E-07
ENSG00000231689,-1.107682915,91.48999387,8.32E-07
ENSG00000139154,-0.523876595,1781.415985,1.00E-06
ENSG00000125534,-0.806643109,970.5782717,1.25E-06
ENSG00000164300,0.627439875,742.6142466,1.30E-06
ENSG00000167468,-0.547441892,3746.640752,1.31E-06
ENSG00000127603,0.55490488,13956.52742,1.37E-06
ENSG00000116586,-0.638677537,537.8600333,1.41E-06
ENSG00000105701,-0.601334806,6041.541243,1.48E-06
ENSG00000100503,0.486729856,1584.975729,1.52E-06
ENSG00000131389,0.526578191,8659.155476,1.53E-06
ENSG00000065989,-0.784740455,178.1247089,1.57E-06
ENSG00000171246,-0.791472851,3724.229443,1.66E-06
ENSG00000175548,1.222700341,119.232419,1.67E-06
ENSG00000105270,-0.589804843,804.8634908,2.36E-06
ENSG00000099817,-0.534754625,2951.092323,2.45E-06
ENSG00000170231,-1.143917212,81.30595092,2.65E-06
ENSG00000106211,-0.722017131,1784.031562,2.73E-06
ENSG00000161016,-0.608543207,33365.7056,3.09E-06
ENSG00000175334,-0.559141159,3638.971087,3.13E-06
ENSG00000125971,-0.696886846,1283.705682,3.35E-06
ENSG00000100316,-0.614589211,65504.02049,3.54E-06
ENSG00000184588,0.793251371,277.8303817,3.86E-06
ENSG00000105373,-0.549255664,6174.310062,3.93E-06
ENSG00000101336,-1.188447338,54.45612119,4.08E-06
ENSG00000177108,0.846101572,1469.554857,4.07E-06
ENSG00000113068,-0.581521098,845.6506458,4.29E-06
ENSG00000170430,-0.795154282,304.0713103,4.57E-06
ENSG00000166803,-0.497175975,1279.047716,4.63E-06
ENSG00000135778,-0.526108486,1453.380542,4.88E-06
ENSG00000147604,-0.473402313,23774.19041,5.04E-06
ENSG00000011376,0.730967003,2774.014341,5.62E-06
ENSG00000204272,-0.588571888,727.3763132,5.65E-06
ENSG00000196187,0.876908423,1383.103812,5.68E-06
ENSG00000139168,-0.510605152,1417.796681,5.81E-06
ENSG00000172893,0.776147846,5718.728893,6.31E-06
ENSG00000213465,-0.727582172,914.5773436,6.20E-06
ENSG00000185070,0.898564995,529.9164899,6.32E-06
ENSG00000184897,-0.746510563,2233.006123,6.25E-06
ENSG00000130724,-0.676000713,1444.855039,6.42E-06
ENSG00000116171,-0.528683396,1071.955568,6.49E-06
ENSG00000090863,0.539129578,10892.78038,7.11E-06
ENSG00000167641,-0.909541633,137.6801817,7.48E-06
ENSG00000125652,-0.532890523,683.8434379,7.45E-06
ENSG00000006757,-0.620483697,329.812667,8.02E-06
ENSG00000125821,-0.535765401,1418.638328,8.36E-06
ENSG00000089597,0.560366388,24711.26696,8.50E-06
ENSG00000109929,0.683627319,4929.610352,8.29E-06
ENSG00000173163,-0.70071849,306.9581212,8.35E-06
ENSG00000130520,-0.489939767,4241.576661,8.49E-06
ENSG00000112304,-0.787215719,635.7506753,9.08E-06
ENSG00000130748,-0.583056815,452.1978151,8.82E-06
ENSG00000124486,-0.763297354,18532.11234,8.90E-06
ENSG00000270081,-0.616874987,388.567112,9.05E-06
ENSG00000213442,-0.705288857,253.8083493,9.49E-06
ENSG00000157193,0.59556617,2453.191757,9.75E-06
ENSG00000245526,1.081675407,61.73599539,1.02E-05
ENSG00000235655,-0.62309404,1252.443714,1.12E-05
ENSG00000204065,-0.714930071,224.2378912,1.15E-05
ENSG00000174748,-0.570636816,23620.04521,1.16E-05
ENSG00000163682,-0.658610452,20296.56934,1.18E-05
ENSG00000142669,-0.802586487,1086.887072,1.21E-05
ENSG00000141458,0.616238675,2017.171074,1.24E-05
ENSG00000171735,-0.563750588,1068.727868,1.31E-05
ENSG00000189159,-0.475109664,3985.778135,1.32E-05
ENSG00000254999,-0.527699606,2888.605005,1.34E-05
ENSG00000123104,0.654564379,1443.879446,1.36E-05
ENSG00000138777,-0.529608423,876.6866226,1.38E-05
ENSG00000111799,0.72264624,187.1999229,1.45E-05
ENSG00000064042,0.701645076,348.527228,1.48E-05
ENSG00000130164,0.799344907,4448.445934,1.47E-05
ENSG00000105193,-0.618429039,15048.56388,1.50E-05
ENSG00000127463,0.652470737,3423.090764,1.58E-05
ENSG00000130313,-0.625973657,669.4753872,1.56E-05
ENSG00000148180,-0.684141194,1703.531921,1.57E-05
ENSG00000188612,-0.592589194,6708.839039,1.70E-05
ENSG00000205542,-1.007538774,29648.38693,1.68E-05
ENSG00000162076,-0.632195305,227.2814578,1.74E-05
ENSG00000075624,-0.567964831,75376.73823,1.76E-05
ENSG00000162623,0.978676003,1016.393282,1.79E-05
ENSG00000101421,-0.446433244,1702.862129,1.80E-05
ENSG00000120738,-1.090006554,665.1444644,1.82E-05
ENSG00000159212,-1.069149717,102.7458561,1.86E-05
ENSG00000185437,-0.980754944,163.9936611,1.86E-05
ENSG00000158258,0.759229274,134.5985559,1.84E-05
ENSG00000168906,0.618918606,9329.13687,1.94E-05
ENSG00000133636,1.11433311,696.0954033,2.00E-05
ENSG00000165661,0.534115448,2425.194534,2.06E-05
ENSG00000225697,0.663149638,2861.993148,2.10E-05
ENSG00000112159,0.478973908,8278.160731,2.25E-05
ENSG00000123595,-0.891864067,651.8276984,2.27E-05
ENSG00000166482,0.906278213,183.529668,2.34E-05
ENSG00000162244,-0.651789743,13333.13661,2.33E-05
ENSG00000103226,0.765872191,292.0665862,2.42E-05
ENSG00000108106,-0.543208031,3945.408914,2.46E-05
ENSG00000075213,0.731178384,1749.753862,2.51E-05
ENSG00000173227,-0.667807178,201.3324255,2.56E-05
ENSG00000179862,-0.820359323,150.4394943,2.60E-05
ENSG00000246859,0.675144114,482.5535102,2.81E-05
ENSG00000169976,-0.503448816,1096.340856,2.82E-05
ENSG00000183570,-0.84651263,176.4158747,2.99E-05
ENSG00000122965,0.535286542,1622.649167,3.00E-05
ENSG00000134146,-0.72943328,502.3997308,3.00E-05
ENSG00000136731,0.62998772,5443.127035,2.97E-05
ENSG00000233276,-0.501996638,2778.206932,2.93E-05
ENSG00000162004,0.827526671,282.627061,3.04E-05
ENSG00000142534,-0.623408614,25461.02964,3.08E-05
ENSG00000105372,-0.591761232,20123.138,3.16E-05
ENSG00000138018,0.60280995,4093.517159,3.29E-05
ENSG00000153774,-0.547525615,1492.99884,3.27E-05
ENSG00000176681,0.950753597,61.54586669,3.28E-05
ENSG00000146425,-0.469901699,1079.33334,3.39E-05
ENSG00000170846,-0.509276597,472.2903859,3.37E-05
ENSG00000105202,-0.521356268,6883.095721,3.55E-05
ENSG00000176533,-0.632331432,393.7813268,3.59E-05
ENSG00000007080,-0.518464843,1426.676644,3.75E-05
ENSG00000104833,-0.896346043,286.0308004,4.10E-05
ENSG00000123975,-0.607162001,3363.831298,4.10E-05
ENSG00000157150,0.986292422,75.93640571,4.17E-05
ENSG00000158966,0.543745227,4921.264784,4.17E-05
ENSG00000184752,-0.579270226,734.9446558,4.19E-05
ENSG00000198931,-0.41289448,2686.155065,4.22E-05
ENSG00000148303,-0.575949979,32168.26189,4.31E-05
ENSG00000169714,-0.56682067,9142.023424,4.51E-05
ENSG00000170906,-0.727253867,866.9275421,4.50E-05
ENSG00000186395,-0.598833974,348.8832881,4.47E-05
ENSG00000142676,-0.647899554,18488.63056,4.55E-05
ENSG00000101670,0.86248529,785.8395766,4.68E-05
ENSG00000024862,-0.576544163,218.8729576,4.73E-05
ENSG00000249158,0.85236061,255.3993121,4.84E-05
ENSG00000060718,0.59395656,1432.832506,4.85E-05
ENSG00000137154,-0.552282849,44226.88448,4.79E-05
ENSG00000125144,-1.032964493,1078.116223,4.91E-05
ENSG00000087086,-0.597990512,16192.40434,4.93E-05
ENSG00000185088,-0.69983772,1514.327464,5.02E-05
ENSG00000163728,0.4315844,999.0217478,5.04E-05
ENSG00000162601,0.614413781,2930.970372,5.24E-05
ENSG00000138759,0.642089818,10279.08786,5.29E-05
ENSG00000198498,-0.606579889,1160.185224,5.37E-05
ENSG00000215030,-1.062121144,149.3704466,5.46E-05
ENSG00000142409,-0.522376814,800.3135729,5.69E-05
ENSG00000178209,0.630792001,7611.440168,5.94E-05
ENSG00000181481,-0.577970002,277.235706,6.15E-05
ENSG00000174021,-0.442059719,1535.232365,6.13E-05
ENSG00000184905,-0.702030412,478.6232634,6.14E-05
ENSG00000255666,0.977944548,114.0758515,6.31E-05
ENSG00000164199,0.588854704,3165.336778,6.30E-05
ENSG00000198468,-0.867088573,326.0873715,6.41E-05
ENSG00000084207,-0.600888882,11793.16399,6.50E-05
ENSG00000153048,-0.473219622,2277.62671,6.62E-05
ENSG00000223705,0.569102317,2565.253924,6.69E-05
ENSG00000218336,0.518865407,4811.653476,6.75E-05
ENSG00000115268,-0.714398906,7657.11452,6.77E-05
ENSG00000077348,-0.444491907,717.7731466,6.90E-05
ENSG00000221983,-0.555711869,7943.768489,6.93E-05
ENSG00000029534,-0.83631906,285.670921,7.06E-05
ENSG00000197321,0.547947306,1419.352377,7.18E-05
ENSG00000174227,0.447668043,1413.835997,7.21E-05
ENSG00000197958,-0.63273829,21262.87526,7.21E-05
ENSG00000261324,0.874040147,96.60178605,7.37E-05
ENSG00000079215,0.672547125,1733.944915,7.29E-05
ENSG00000075914,-0.431370705,1267.640926,7.32E-05
ENSG00000107537,-0.700210407,641.1275756,7.36E-05
ENSG00000144354,0.39199291,3749.460061,7.47E-05
ENSG00000146701,-0.346196811,4940.65401,7.60E-05
ENSG00000226958,-0.737893476,26005.08752,7.71E-05
ENSG00000167994,-0.640276577,155.3646199,7.64E-05
ENSG00000125970,-0.425733939,3725.236329,7.58E-05
ENSG00000241781,-0.902374222,520.0509854,7.75E-05
ENSG00000124243,-0.643787856,398.8607679,7.63E-05
ENSG00000182165,-0.734075409,188.3901639,7.68E-05
ENSG00000198417,-0.987798273,223.7651449,7.80E-05
ENSG00000116251,-0.487211429,16351.28769,7.98E-05
ENSG00000091136,0.682981134,6175.980707,8.03E-05
ENSG00000164967,-0.563585083,366.6023622,8.10E-05
ENSG00000231789,-0.84709942,108.8956114,8.21E-05
ENSG00000119711,-0.496356283,832.6635376,8.25E-05
ENSG00000176393,-0.398605956,1210.182881,8.29E-05
ENSG00000131876,-0.476942028,2410.207364,8.36E-05
ENSG00000127481,0.511767711,9367.675019,8.56E-05
ENSG00000177239,0.429792149,1835.840873,8.55E-05
ENSG00000130827,0.550731034,996.7989168,8.66E-05
ENSG00000090013,-0.753277073,428.6888144,8.80E-05
ENSG00000134779,-0.440974571,2517.735118,8.86E-05
ENSG00000238083,0.69105811,567.6743224,8.96E-05
ENSG00000169231,0.575130371,290.987205,9.23E-05
ENSG00000167526,-0.60936651,22026.71446,9.32E-05
ENSG00000170889,-0.499698228,20966.53089,9.47E-05
ENSG00000109475,-0.649789086,10352.38485,9.85E-05
ENSG00000084674,1.02429726,124.72499,9.90E-05
ENSG00000266918,1.002112486,55.22405895,0.000101889
ENSG00000148288,0.71429267,154.7120237,0.00010255
ENSG00000126777,0.579420024,9597.814388,0.000104394
ENSG00000141424,0.57044644,3656.786581,0.000105281
ENSG00000092199,-0.448756696,29464.66627,0.000107712
ENSG00000233927,-0.794244704,5018.0103,0.000108897
ENSG00000141971,-0.472068857,573.8441368,0.000109784
ENSG00000205047,0.698388709,124.9422824,0.000109831
